ticket_id,created_at,resolved_at,category,priority,status,building,description,submitted_by,assigned_to,resolution_notes,cost,sla_hours,_source_file,_ingested_at,_pipeline_run_id,_pipeline_actor,_row_hash,_raw_row_json,_rejection_reason
,asap,???,unknown,???,???,unknown,NULL,,,,,NULL,/Users/ramesh/Projects/InterviewPrep/turgon/medallion_pipeline_turgon/data/raw_tickets.csv,2026-08-17T05:46:07+00:00,23e45cd8-a711-48fa-8055-d280b79af475,ramesh,9b1ac2886930ca1e9b9121f4e691cbb70cea1324e600e118f595d5e38a9845f6,"{""fields"": {""ticket_id"": """", ""created_at"": ""asap"", ""resolved_at"": ""???"", ""category"": ""unknown"", ""priority"": ""???"", ""status"": ""???"", ""building"": ""unknown"", ""description"": ""NULL"", ""submitted_by"": """", ""assigned_to"": """", ""resolution_notes"": """", ""cost"": """", ""sla_hours"": ""NULL""}, ""extra_columns"": []}",invalid_ticket_id
,,???,DELETE ME,null,NULL,,,system,,,,-1,/Users/ramesh/Projects/InterviewPrep/turgon/medallion_pipeline_turgon/data/raw_tickets.csv,2026-08-17T05:46:07+00:00,23e45cd8-a711-48fa-8055-d280b79af475,ramesh,46369fddde2ba215be5705d9779e355e30e777cda874f1d03fbb7756a7278ce8,"{""fields"": {""ticket_id"": """", ""created_at"": """", ""resolved_at"": ""???"", ""category"": ""DELETE ME"", ""priority"": ""null"", ""status"": ""NULL"", ""building"": """", ""description"": """", ""submitted_by"": ""system"", ""assigned_to"": """", ""resolution_notes"": """", ""cost"": """", ""sla_hours"": ""-1""}, ""extra_columns"": []}",invalid_ticket_id
NULL,,???,asdf,,unknown,unknown,duplicate entry please delete,test,,,,-1,/Users/ramesh/Projects/InterviewPrep/turgon/medallion_pipeline_turgon/data/raw_tickets.csv,2026-08-17T05:46:07+00:00,23e45cd8-a711-48fa-8055-d280b79af475,ramesh,18ea11c5ca7eb1c940bb1f4a5df9706fd01497b757ccdaf0433c7d6c162e0557,"{""fields"": {""ticket_id"": ""NULL"", ""created_at"": """", ""resolved_at"": ""???"", ""category"": ""asdf"", ""priority"": """", ""status"": ""unknown"", ""building"": ""unknown"", ""description"": ""duplicate entry please delete"", ""submitted_by"": ""test"", ""assigned_to"": """", ""resolution_notes"": """", ""cost"": """", ""sla_hours"": ""-1""}, ""extra_columns"": []}",invalid_ticket_id
N/A,00/00/0000,???,unknown,???,NULL,???,test,,,,error,NULL,/Users/ramesh/Projects/InterviewPrep/turgon/medallion_pipeline_turgon/data/raw_tickets.csv,2026-08-17T05:46:07+00:00,23e45cd8-a711-48fa-8055-d280b79af475,ramesh,f931705185022a58248eeb2ec4f24925035c97060afa11183864dd4db7d0a118,"{""fields"": {""ticket_id"": ""N/A"", ""created_at"": ""00/00/0000"", ""resolved_at"": ""???"", ""category"": ""unknown"", ""priority"": ""???"", ""status"": ""NULL"", ""building"": ""???"", ""description"": ""test"", ""submitted_by"": """", ""assigned_to"": """", ""resolution_notes"": """", ""cost"": ""error"", ""sla_hours"": ""NULL""}, ""extra_columns"": []}",invalid_ticket_id
20,,???,test,ASAP,NULL,test building,,test,,,-999,NULL,/Users/ramesh/Projects/InterviewPrep/turgon/medallion_pipeline_turgon/data/raw_tickets.csv,2026-08-17T05:46:07+00:00,23e45cd8-a711-48fa-8055-d280b79af475,ramesh,89498206294ac00192c4b31ed64ab53ed598b7da372649c6a75281adfa0c88c6,"{""fields"": {""ticket_id"": ""20"", ""created_at"": """", ""resolved_at"": ""???"", ""category"": ""test"", ""priority"": ""ASAP"", ""status"": ""NULL"", ""building"": ""test building"", ""description"": """", ""submitted_by"": ""test"", ""assigned_to"": """", ""resolution_notes"": """", ""cost"": ""-999"", ""sla_hours"": ""NULL""}, ""extra_columns"": []}",invalid_ticket_id
,TBD,???,asdf,urgent!!!,,,duplicate entry please delete,test,,,NULL,,/Users/ramesh/Projects/InterviewPrep/turgon/medallion_pipeline_turgon/data/raw_tickets.csv,2026-08-17T05:46:07+00:00,23e45cd8-a711-48fa-8055-d280b79af475,ramesh,a419cf934c02bdc6cfd62151cf718283b8a490252b8e0360b566e422f2178da1,"{""fields"": {""ticket_id"": """", ""created_at"": ""TBD"", ""resolved_at"": ""???"", ""category"": ""asdf"", ""priority"": ""urgent!!!"", ""status"": """", ""building"": """", ""description"": ""duplicate entry please delete"", ""submitted_by"": ""test"", ""assigned_to"": """", ""resolution_notes"": """", ""cost"": ""NULL"", ""sla_hours"": """"}, ""extra_columns"": []}",invalid_ticket_id
97,00/00/0000,pending,???,urgent!!!,,unknown,IGNORE THIS ROW,,,,NULL,-1,/Users/ramesh/Projects/InterviewPrep/turgon/medallion_pipeline_turgon/data/raw_tickets.csv,2026-08-17T05:46:07+00:00,23e45cd8-a711-48fa-8055-d280b79af475,ramesh,55467d8eccb4ebaa84b51c8c4848bc351595923b8e34c9c0c5144019f70b8da1,"{""fields"": {""ticket_id"": ""97"", ""created_at"": ""00/00/0000"", ""resolved_at"": ""pending"", ""category"": ""???"", ""priority"": ""urgent!!!"", ""status"": """", ""building"": ""unknown"", ""description"": ""IGNORE THIS ROW"", ""submitted_by"": """", ""assigned_to"": """", ""resolution_notes"": """", ""cost"": ""NULL"", ""sla_hours"": ""-1""}, ""extra_columns"": []}",invalid_ticket_id
NULL,,???,test,urgent!!!,,unknown,.,system,,,error,-1,/Users/ramesh/Projects/InterviewPrep/turgon/medallion_pipeline_turgon/data/raw_tickets.csv,2026-08-17T05:46:07+00:00,23e45cd8-a711-48fa-8055-d280b79af475,ramesh,9dafb3516690c461a1622741182149381afca589dc28e6cd0939cd21eaa33975,"{""fields"": {""ticket_id"": ""NULL"", ""created_at"": """", ""resolved_at"": ""???"", ""category"": ""test"", ""priority"": ""urgent!!!"", ""status"": """", ""building"": ""unknown"", ""description"": ""."", ""submitted_by"": ""system"", ""assigned_to"": """", ""resolution_notes"": """", ""cost"": ""error"", ""sla_hours"": ""-1""}, ""extra_columns"": []}",invalid_ticket_id
N/A,TBD,???,unknown,ASAP,,???,.,admin,,,NULL,NULL,/Users/ramesh/Projects/InterviewPrep/turgon/medallion_pipeline_turgon/data/raw_tickets.csv,2026-08-17T05:46:07+00:00,23e45cd8-a711-48fa-8055-d280b79af475,ramesh,ddb62d02c0f47a2b8e9943adebad94cc67efba0eb202ce5af3e981fdfec32c32,"{""fields"": {""ticket_id"": ""N/A"", ""created_at"": ""TBD"", ""resolved_at"": ""???"", ""category"": ""unknown"", ""priority"": ""ASAP"", ""status"": """", ""building"": ""???"", ""description"": ""."", ""submitted_by"": ""admin"", ""assigned_to"": """", ""resolution_notes"": """", ""cost"": ""NULL"", ""sla_hours"": ""NULL""}, ""extra_columns"": []}",invalid_ticket_id
,asap,,NULL,ASAP,NULL,,,,,,-999,,/Users/ramesh/Projects/InterviewPrep/turgon/medallion_pipeline_turgon/data/raw_tickets.csv,2026-08-17T05:46:07+00:00,23e45cd8-a711-48fa-8055-d280b79af475,ramesh,74cc4cc16fef7af87ce090a74b39bcb108281ae9f74459cc9d6e3cbba356909e,"{""fields"": {""ticket_id"": """", ""created_at"": ""asap"", ""resolved_at"": """", ""category"": ""NULL"", ""priority"": ""ASAP"", ""status"": ""NULL"", ""building"": """", ""description"": """", ""submitted_by"": """", ""assigned_to"": """", ""resolution_notes"": """", ""cost"": ""-999"", ""sla_hours"": """"}, ""extra_columns"": []}",invalid_ticket_id
NULL,00/00/0000,,DELETE ME,null,NULL,unknown,duplicate entry please delete,admin,,,error,,/Users/ramesh/Projects/InterviewPrep/turgon/medallion_pipeline_turgon/data/raw_tickets.csv,2026-08-17T05:46:07+00:00,23e45cd8-a711-48fa-8055-d280b79af475,ramesh,4ffaafeb3d2bbab7a6ab7de2e681f7cb0b73abf05c0c0e07fe95695bbd46106f,"{""fields"": {""ticket_id"": ""NULL"", ""created_at"": ""00/00/0000"", ""resolved_at"": """", ""category"": ""DELETE ME"", ""priority"": ""null"", ""status"": ""NULL"", ""building"": ""unknown"", ""description"": ""duplicate entry please delete"", ""submitted_by"": ""admin"", ""assigned_to"": """", ""resolution_notes"": """", ""cost"": ""error"", ""sla_hours"": """"}, ""extra_columns"": []}",invalid_ticket_id
N/A,00/00/0000,never,DELETE ME,,NULL,test building,asdfasdfasdf,test,,,,NULL,/Users/ramesh/Projects/InterviewPrep/turgon/medallion_pipeline_turgon/data/raw_tickets.csv,2026-08-17T05:46:07+00:00,23e45cd8-a711-48fa-8055-d280b79af475,ramesh,e0602ce321baa558fd782e3d7657362f89996fd449ec885b732f4a791e98a89d,"{""fields"": {""ticket_id"": ""N/A"", ""created_at"": ""00/00/0000"", ""resolved_at"": ""never"", ""category"": ""DELETE ME"", ""priority"": """", ""status"": ""NULL"", ""building"": ""test building"", ""description"": ""asdfasdfasdf"", ""submitted_by"": ""test"", ""assigned_to"": """", ""resolution_notes"": """", ""cost"": """", ""sla_hours"": ""NULL""}, ""extra_columns"": []}",invalid_ticket_id
N/A,not a date,???,???,ASAP,unknown,???,NULL,system,,,NULL,-1,/Users/ramesh/Projects/InterviewPrep/turgon/medallion_pipeline_turgon/data/raw_tickets.csv,2026-08-17T05:46:07+00:00,23e45cd8-a711-48fa-8055-d280b79af475,ramesh,a3baefd55144d8d5f3a57b20bdebd85d08a81c5ee024da2823d8d4a9c989a6d6,"{""fields"": {""ticket_id"": ""N/A"", ""created_at"": ""not a date"", ""resolved_at"": ""???"", ""category"": ""???"", ""priority"": ""ASAP"", ""status"": ""unknown"", ""building"": ""???"", ""description"": ""NULL"", ""submitted_by"": ""system"", ""assigned_to"": """", ""resolution_notes"": """", ""cost"": ""NULL"", ""sla_hours"": ""-1""}, ""extra_columns"": []}",invalid_ticket_id
NULL,00/00/0000,???,DELETE ME,ASAP,NULL,???,asdfasdfasdf,test,,,error,NULL,/Users/ramesh/Projects/InterviewPrep/turgon/medallion_pipeline_turgon/data/raw_tickets.csv,2026-08-17T05:46:07+00:00,23e45cd8-a711-48fa-8055-d280b79af475,ramesh,e4d93723e0de9d70dc9259b5308fe46927e4fd58b674f38aeb5b5b6155b9cf1f,"{""fields"": {""ticket_id"": ""NULL"", ""created_at"": ""00/00/0000"", ""resolved_at"": ""???"", ""category"": ""DELETE ME"", ""priority"": ""ASAP"", ""status"": ""NULL"", ""building"": ""???"", ""description"": ""asdfasdfasdf"", ""submitted_by"": ""test"", ""assigned_to"": """", ""resolution_notes"": """", ""cost"": ""error"", ""sla_hours"": ""NULL""}, ""extra_columns"": []}",invalid_ticket_id
,asap,never,,???,NULL,test building,IGNORE THIS ROW,,,,NULL,NULL,/Users/ramesh/Projects/InterviewPrep/turgon/medallion_pipeline_turgon/data/raw_tickets.csv,2026-08-17T05:46:07+00:00,23e45cd8-a711-48fa-8055-d280b79af475,ramesh,fe78ce05333635a749f9d1be3a1a6d3cad12a394f504e2141752b671ce29ec8e,"{""fields"": {""ticket_id"": """", ""created_at"": ""asap"", ""resolved_at"": ""never"", ""category"": """", ""priority"": ""???"", ""status"": ""NULL"", ""building"": ""test building"", ""description"": ""IGNORE THIS ROW"", ""submitted_by"": """", ""assigned_to"": """", ""resolution_notes"": """", ""cost"": ""NULL"", ""sla_hours"": ""NULL""}, ""extra_columns"": []}",invalid_ticket_id
N/A,asap,never,NULL,urgent!!!,,???,.,admin,,,error,NULL,/Users/ramesh/Projects/InterviewPrep/turgon/medallion_pipeline_turgon/data/raw_tickets.csv,2026-08-17T05:46:07+00:00,23e45cd8-a711-48fa-8055-d280b79af475,ramesh,9bf63c6443ab8d97958926c3fefdcce673f1d3ea29d2f89f496b4663215ae7fa,"{""fields"": {""ticket_id"": ""N/A"", ""created_at"": ""asap"", ""resolved_at"": ""never"", ""category"": ""NULL"", ""priority"": ""urgent!!!"", ""status"": """", ""building"": ""???"", ""description"": ""."", ""submitted_by"": ""admin"", ""assigned_to"": """", ""resolution_notes"": """", ""cost"": ""error"", ""sla_hours"": ""NULL""}, ""extra_columns"": []}",invalid_ticket_id
